O_score,C_score,E_score,A_score,N_score,Numerical Aptitude,Spatial Aptitude,Perceptual Aptitude,Abstract Reasoning,Verbal Reasoning,recommended department
5.45,8.67,3.45,5.34,4.23,9.23,4.56,6.78,7.89,6.12,1
8.78,5.67,4.56,6.45,4.23,5.12,8.45,7.89,6.34,6.01,1
6.12,6.78,9.34,7.56,5.01,6.23,4.23,6.45,6.67,8.45,1
9.12,8.78,4.23,5.67,4.56,7.89,5.34,6.45,9.34,7.67,0
6.45,7.56,5.67,9.12,4.23,5.34,4.01,6.23,5.78,8.67,1
8.45,7.01,5.34,5.45,4.56,6.45,9.12,7.67,8.89,4.23,0
4.01,8.23,6.67,9.34,5.12,4.56,4.45,7.45,5.78,7.78,0
8.78,7.89,5.67,6.01,4.67,8.45,4.23,5.34,9.23,6.45,0
8.78,7.45,5.34,8.45,6.01,4.56,4.01,4.23,6.67,9.23,0
6.78,6.45,8.45,7.67,4.56,3.45,3.12,9.34,3.67,4.23,1
6.23,7.34,8.78,7.45,5.67,5.12,4.34,4.67,6.01,7.89,1
7.89,9.23,5.01,7.45,6.34,4.78,4.01,4.56,5.67,8.67,1
9.34,3.56,7.23,6.78,5.45,2.89,2.34,9.12,5.23,4.01,1
5.23,7.12,7.34,8.45,6.45,4.67,3.12,3.67,4.34,7.56,1
4.56,6.78,5.67,3.23,2.89,8.12,8.67,4.01,7.45,3.45,0
8.78,7.34,5.23,6.45,6.01,4.67,3.56,4.01,4.45,9.12,1
9.45,8.01,4.67,5.56,4.01,7.78,7.45,6.67,9.12,6.34,0
6.78,8.67,5.23,6.45,4.01,9.12,2.89,3.56,3.23,4.45,1
8.78,7.67,3.67,6.45,5.34,5.67,4.56,6.23,8.45,7.12,0
6.67,6.01,8.45,8.23,4.34,3.78,3.45,6.78,4.56,7.45,1
6.12,7.01,8.67,7.89,5.34,4.23,3.67,4.01,4.45,7.45,1
9.12,7.45,4.23,5.67,3.78,7.01,6.45,6.78,8.78,6.01,0
8.45,7.89,5.67,7.12,6.45,5.12,3.45,4.23,4.56,9.34,1
6.34,8.12,2.89,6.78,4.78,7.45,3.23,3.56,4.23,7.01,0
8.78,3.78,7.67,7.01,6.01,3.45,2.78,8.45,5.67,4.23,1
6.45,7.23,8.12,7.45,5.78,4.67,3.01,3.67,4.45,7.67,1
7.89,7.67,4.01,5.23,4.56,9.45,3.45,6.78,8.78,5.34,0
7.01,3.78,8.45,6.78,5.45,3.56,5.12,9.23,3.01,4.23,1
6.67,8.23,5.12,6.01,4.45,9.12,3.34,3.78,4.23,7.45,0
7.12,9.45,4.23,6.78,4.56,8.67,3.23,3.67,4.01,6.45,0
7.56,7.01,4.67,9.23,6.34,3.45,2.89,4.45,3.12,6.67,1
5.67,8.78,6.67,6.34,4.34,9.23,3.01,3.78,3.45,4.01,1
8.78,7.67,4.01,5.23,4.56,7.12,3.45,6.78,8.45,5.34,0
6.45,6.67,7.01,8.12,5.56,4.01,3.23,3.78,4.23,7.45,1
6.78,8.45,5.12,6.01,4.56,7.89,3.45,3.67,4.23,7.34,0
6.45,7.67,5.34,9.23,4.45,3.78,2.89,3.01,3.56,8.12,
6.01,7.34,4.01,5.23,4.67,8.78,8.23,6.78,7.45,5.45,
8.45,7.78,5.67,7.34,6.45,5.12,3.23,3.78,4.45,8.12,1
6.78,8.67,4.45,6.01,4.78,8.34,3.23,3.67,4.12,7.23,1
9.34,4.45,8.45,6.45,7.12,3.23,3.01,6.67,6.01,5.23,1
5.67,8.78,7.12,6.45,6.01,4.56,3.67,4.23,5.34,8.45,1
8.45,6.45,7.01,7.56,5.67,3.78,2.89,3.12,3.45,8.12,1
8.78,7.67,4.45,5.12,6.01,5.34,4.01,6.78,8.34,7.45,0
7.78,7.34,5.23,9.12,6.01,4.67,3.23,3.67,4.34,8.45,0
6.78,7.23,3.89,5.12,4.67,8.89,8.45,6.12,7.78,5.45,0
8.78,7.67,4.01,5.12,4.67,7.23,6.78,6.12,8.45,5.45,0
6.67,7.34,8.45,7.89,5.45,3.78,2.89,3.12,3.45,8.12,1
9.12,7.45,4.01,5.23,4.67,7.01,6.45,6.78,8.78,5.45,0
8.67,7.78,5.67,4.23,6.45,4.45,3.34,3.78,8.23,7.45,0
8.78,7.67,4.45,5.12,6.01,5.34,4.01,6.78,8.34,7.45,0
5.12,8.89,4.34,5.45,4.78,8.45,7.23,6.78,7.67,5.67,0
9.12,7.45,5.45,5.23,4.67,7.01,6.45,6.78,8.78,4.01,0
6.78,7.34,3.67,5.23,4.67,7.89,8.45,6.12,4.34,5.45,0
6.67,7.78,3.45,6.01,5.45,8.67,3.12,3.78,4.45,7.45,1
4.34,8.89,4.78,6.45,5.45,7.67,8.45,6.78,5.12,7.23,0
8.67,8.12,4.01,5.23,4.67,7.45,7.23,6.12,6.78,5.45,0
8.45,4.23,7.67,7.23,6.45,3.78,3.45,8.12,5.67,4.45,1
7.78,7.34,5.23,9.12,6.01,4.67,3.23,3.67,4.34,8.45,0
6.78,7.67,3.78,4.89,4.34,8.56,9.23,6.01,8.12,5.45,0
7.23,8.34,5.45,9.12,6.01,4.67,3.23,3.67,4.34,7.01,0
6.67,8.45,3.45,6.12,5.23,7.78,3.12,3.78,4.45,7.45,1
7.23,7.67,4.23,5.45,4.89,9.23,8.67,6.45,8.12,5.67,0
6.01,7.78,5.23,9.34,6.45,4.67,3.23,3.67,4.34,8.45,0
7.67,6.12,8.78,7.45,6.45,3.45,2.89,3.12,3.67,8.23,1
8.89,7.67,4.45,5.12,6.01,5.34,4.01,6.78,8.45,7.45,0
6.78,8.45,7.34,5.45,6.01,4.67,3.45,3.78,4.23,7.78,0
7.45,7.12,4.67,8.67,6.34,3.45,2.89,4.45,3.12,6.78,0
8.78,4.23,7.67,7.45,6.45,3.78,3.45,8.34,5.67,4.45,0
7.01,7.78,5.23,9.12,6.01,4.67,3.23,3.67,4.34,8.45,1
8.67,8.12,4.01,5.23,4.67,7.45,7.23,6.12,6.78,5.45,0
9.23,7.67,4.23,5.12,4.67,7.23,3.67,6.78,8.78,5.45,0
6.67,8.45,3.45,6.12,5.45,7.78,3.12,3.78,4.45,7.45,0
6.67,7.34,8.67,7.89,5.45,3.78,2.89,3.12,3.45,8.12,1
7.78,7.34,5.23,9.12,6.01,4.67,3.23,3.67,4.34,8.45,0
8.67,7.67,6.01,7.45,6.45,4.45,2.89,3.12,4.67,8.23,1
7.01,7.78,5.23,9.12,6.01,4.67,3.23,3.67,4.34,8.45,0
7.23,7.67,4.23,5.45,4.89,9.34,8.67,6.45,8.12,5.67,0
7.23,8.23,8.67,6.45,6.01,7.67,4.23,4.56,5.12,5.45,1
8.78,7.67,4.45,5.12,6.01,5.34,4.01,6.78,8.45,7.45,0
7.45,7.78,6.01,8.67,6.45,5.12,4.23,4.56,5.34,8.23,1
6.78,8.45,3.45,6.45,5.45,8.12,3.12,3.78,4.45,7.67,0
6.01,8.45,5.23,9.34,6.45,4.67,3.23,3.67,4.34,7.78,0
7.67,8.78,5.45,7.45,6.01,4.45,3.45,3.78,4.23,8.45,0
8.67,7.78,4.45,5.12,6.01,5.34,4.01,6.45,8.23,7.45,0
8.78,8.34,7.45,6.45,5.45,4.45,2.89,3.12,4.67,7.67,1
8.78,4.23,7.67,7.45,6.45,3.78,3.45,8.34,5.67,4.45,1
6.01,7.78,5.23,9.34,6.45,4.67,3.23,3.67,4.34,8.45,0
8.78,7.67,4.45,5.12,6.01,5.34,4.01,6.45,8.34,7.45,0
6.78,7.67,8.45,8.23,6.45,3.78,2.89,3.12,3.45,5.45,1
6.78,8.45,3.45,6.45,5.45,8.12,3.12,3.78,4.45,7.67,1
6.01,7.67,5.23,9.12,6.45,4.67,3.23,3.67,4.34,8.34,0
5.23,7.67,4.67,8.56,8.12,4.23,3.12,3.45,3.78,6.45,0
7.67,9.23,4.23,7.34,6.45,8.67,3.78,4.45,5.67,8.12,1
6.01,8.45,3.78,4.01,4.67,7.67,8.23,6.78,7.45,4.23,1
6.01,7.78,5.23,9.34,6.45,4.67,3.23,3.67,4.34,8.45,0
8.67,4.23,7.67,7.45,6.45,3.78,3.45,8.23,5.67,4.45,1
7.67,8.23,6.01,9.12,5.45,4.45,2.89,3.12,4.67,8.34,1
2.67,8.78,7.67,8.45,6.45,4.45,2.89,3.12,4.67,5.45,1
7.45,8.67,5.23,7.67,6.01,4.67,3.23,3.67,4.34,8.23,1
6.78,8.45,3.45,6.45,5.45,8.12,3.12,3.78,4.45,7.67,1
7.67,8.23,6.01,9.12,5.45,4.45,2.89,3.12,4.67,8.34,1
2.67,8.78,7.67,8.45,6.45,4.45,2.89,3.12,4.67,5.45,1
6.78,8.67,4.23,5.23,4.67,8.23,7.67,6.01,7.45,5.45,0
7.34,7.67,4.23,5.23,4.67,9.34,8.45,6.78,8.12,5.67,0
7.34,7.67,4.23,5.45,4.89,9.12,8.67,6.45,8.23,5.67,0
